Layer,Day,Order,Name,Address,Type,Priority,Approx_Km,Approx_Time,Notes,Source_File
Accommodation,Night 1-2,1,Aurland Base,"Aurland, Norway",Accommodation,Recommended,,2 nights,"Preferred quieter base for Stegastein, Aurlandsfjord and Flam area.",01_Accommodation.csv
Accommodation,Night 1-2,2,Flam Base,"Flam, Norway",Accommodation,Alternative,,2 nights,More services but busier and often pricier in July.,01_Accommodation.csv
Accommodation,Night 1-2,3,Gudvangen Base,"Gudvangen, Norway",Accommodation,Alternative,,2 nights,Good for Naeroyfjord access if Aurland/Flam are full.,01_Accommodation.csv
Accommodation,Night 3-5,4,Loen Base,"Loen, Norway",Accommodation,Recommended,,3 nights,"Best scenic base for Lovatnet, Loen Skylift and Olden.",01_Accommodation.csv
Accommodation,Night 3-5,5,Olden Base,"Olden, Norway",Accommodation,Recommended,,3 nights,Excellent for Briksdal Glacier and Oldedalen.,01_Accommodation.csv
Accommodation,Night 3-5,6,Stryn Base,"Stryn, Norway",Accommodation,Alternative,,3 nights,"Practical town base for groceries, EV charging and Geiranger day.",01_Accommodation.csv
Accommodation,Night 6,7,Voss Base,"Voss, Norway",Accommodation,Recommended,,1 night,Good compromise before a noon Bergen Airport arrival; around 1.5-2 hours to BGO.,01_Accommodation.csv
Accommodation,Night 6,8,Bergen Airport Base,"Bergen Airport, Flesland, Bergen, Norway",Accommodation,Safest,,1 night,Safest if the flight itself departs around noon or you want no morning stress.,01_Accommodation.csv
Accommodation,Night 6,9,Bergen Base,"Bergen, Norway",Accommodation,Alternative,,1 night,Good if you want one last evening in Bergen; airport transfer is longer than Flesland hotels.,01_Accommodation.csv
Must-See Points,Day 2,1,Stegastein Viewpoint,"Stegastein Viewpoint, Aurland, Norway",Viewpoint,Must,,45-75 min from Aurland incl. photos,Go early in July.,02_Must_See_Points.csv
Must-See Points,Day 2,2,Aurlandsfjord,"Aurlandsfjord, Norway",Fjord,Must,,Flexible,Main fjord experience near Aurland/Flam.,02_Must_See_Points.csv
Must-See Points,Day 4,3,Lovatnet,"Lovatnet, Norway",Lake / Scenic Drive,Must,,1-3 hours,Low-stress scenic option in Loen/Olden area.,02_Must_See_Points.csv
Must-See Points,Day 5 Optional Geiranger,4,Flydalsjuvet,"Flydalsjuvet, Geiranger, Norway",Viewpoint,Must if doing Geiranger,,20-30 min,Classic Geiranger viewpoint.,02_Must_See_Points.csv
Must-See Points,Day 5 Optional Geiranger,5,Geiranger,"Geiranger, Norway",Fjord Village,Must if doing Geiranger,,30-60 min,Treat village stop as brief in July; main value is viewpoints and ferry.,02_Must_See_Points.csv
Must-See Points,Day 5 Optional Geiranger,6,Geiranger-Hellesylt Ferry Start,"Geiranger ferjekai, Norway",Ferry,Must if doing Geiranger,,Check in 30 min before sailing,Book vehicle ferry in advance in July.,02_Must_See_Points.csv
Optional Points,Day 1,1,Tvindefossen,"Tvindefossen, Norway",Waterfall,Optional,,20-30 min,Easy stop near Voss.,03_Optional_Points.csv
Optional Points,Day 1-2,2,Gudvangen,"Gudvangen, Norway",Fjord Stop,Optional,,30-60 min,Good Naeroyfjord stop.,03_Optional_Points.csv
Optional Points,Day 2,3,Undredal,"Undredal, Norway",Village,Optional,,1-1.5 hr incl. detour,Quiet fjord village option.,03_Optional_Points.csv
Optional Points,Day 3,4,Boyabreen Glacier Viewpoint,"Boyabreen Glacier, Fjaerland, Norway",Glacier Viewpoint,Optional,,15-30 min,Easy stop on Aurland/Flam to Loen/Stryn transfer.,03_Optional_Points.csv
Optional Points,Day 4,5,Briksdal Glacier,"Briksdal Glacier, Norway",Short Hike,Recommended,,1.5-2.5 hr walk/photos,"Choose as the one main activity for the day, not combined with too much else.",03_Optional_Points.csv
Optional Points,Day 4,6,Loen Skylift,"Loen Skylift, Norway",Viewpoint,Weather dependent,,2-4 hr,Only worth it in clear weather.,03_Optional_Points.csv
Optional Points,Day 5 Optional Geiranger,7,Dalsnibba,"Dalsnibba, Norway",Viewpoint / Toll Road,Weather dependent,,+60-90 min,Skip in fog/low cloud.,03_Optional_Points.csv
Optional Points,Day 5 Optional Geiranger,8,Djupvatnet,"Djupvatnet, Norway",Scenic Stop,Optional,,10-20 min,Quick stop on road toward Geiranger.,03_Optional_Points.csv
Ferries,Day 3,1,Fodnes-Mannheller Ferry,"Fodnes ferjekai, Norway",Ferry,Recommended,,Short crossing + waiting time,Useful crossing on Aurland/Flam to Sogndal/Loen route.,04_Ferries.csv
Ferries,Day 5 Optional Geiranger,2,Geiranger-Hellesylt Ferry,"Geiranger ferjekai, Norway",Ferry / Fjord Experience,Must if doing Geiranger,,65 min sailing + 30 min check-in,Book in advance for July. Arrives at Hellesylt ferjekai.,04_Ferries.csv
Ferries,Day 5 Optional Geiranger,3,Hellesylt Ferry Arrival,"Hellesylt ferjekai, Norway",Ferry Arrival,Must if doing Geiranger,,,Continue back toward Stryn/Loen after ferry.,04_Ferries.csv
