Layer,Day,Order,Name,Address,Type,Priority,Approx_Km,Approx_Time,Notes,Description_HU,Tip_HU
Optional Points,Day 2,1,Tvindefossen,"Tvindefossen, Norway",Waterfall,Optional,,20-30 min,Easy stop on the Bergen to Laerdalsoyri transfer.,"Könnyen elérhető vízesés az út mellett, jó rövid fotómegálló.","Ne nyújtsátok hosszúra, ha a Laerdalsoyri felé tartó nap késésben van."
Optional Points,Day 2,2,Gudvangen,"Gudvangen, Norway",Fjord Stop,Optional,,30-60 min,Good Naeroyfjord stop if the transfer day is not running late.,"Fjordparti település a Naeroyfjord környékén, látványos, de nyáron forgalmas.","Rövid panorámaszünetnek jó, hosszabb programra csak akkor, ha bőven van idő."
Optional Points,Day 3,3,Undredal,"Undredal, Norway",Village,Optional,,1-1.5 hr incl. detour,Quiet fjord village option from Laerdalsoyri/Aurland area.,"Kis fjordfalu csendesebb hangulattal, jó opcionális kitérő.","Akkor válaszd, ha nem siettek és nem vállaltatok be már fjordhajózást vagy hosszabb programot."
Optional Points,Day 4,4,Boyabreen Glacier Viewpoint,"Boyabreen Glacier, Fjaerland, Norway",Glacier Viewpoint,Recommended,,15-30 min,Easy short stop on the Laerdalsoyri to Stryn transfer.,Könnyen elérhető gleccsernéző pont Fjaerland környékén.,"Rövid, látványos megálló; ne csináljatok belőle hosszú túrát a transzfernapon."
Optional Points,Day 5,5,Loen Skylift,"Loen Skylift, Norway",Viewpoint,Weather dependent,,2-4 hr,Only worth it in clear weather.,Felvonó magas panorámára Loen felett.,Csak tiszta időben éri meg igazán; felhőben inkább Lovatnet vagy alacsonyabb scenic drive.
Optional Points,Day 6 Optional Geiranger,6,Dalsnibba,"Dalsnibba, Norway",Viewpoint / Toll Road,Weather dependent,,+60-90 min,Skip in fog or low cloud.,"Magashegyi, fizetős kilátóút Geiranger felett, tiszta időben nagyon erős panorámával.","Ködben, alacsony felhőben vagy szoros időterv mellett hagyjátok ki."
Optional Points,Day 6 Optional Geiranger,7,Djupvatnet,"Djupvatnet, Norway",Scenic Stop,Optional,,10-20 min,Quick stop on road toward Geiranger.,"Magashegyi tó Geiranger felé, gyors és látványos időjárásfüggő megálló.","Ha ködös vagy nagyon hideg-szeles, elég pár fotó, majd tovább."
Optional Points,Day 7 Return via Vikafjell,8,Vangsnes Ferry Arrival,"Vangsnes ferjekai, Norway",Ferry Arrival,Recommended,,Continue toward Vik,Arrival side for the Hella-Vangsnes crossing.,"A Hella - Vangsnes komp érkezési oldala, innen Vik felé vezet az út.","Érkezés után ellenőrizzétek újra a Vikafjell időjárását, ha bizonytalan."
Optional Points,Day 7 Return via Vikafjell,9,Vik i Sogn,"Vik i Sogn, Norway",Village / Break,Optional,,20-45 min,Good short stop before Vikafjell; keep it brief if returning to Vaksdal same day.,"Kis település a scenic visszaúton, rövid pihenőre alkalmas.","Tartsátok röviden, mert a nap vége Vaksdalig még hosszú."
Optional Points,Day 7 Return via Vikafjell,10,Hopperstad Stave Church,"Hopperstad Stave Church, Vik, Norway",Cultural Stop,Optional,,20-45 min,Optional only; skip if the return day is already running late.,"Történelmi fatemplom Vik környékén, opcionális kulturális megálló.","Csak akkor férjen bele, ha a visszaút nincs késésben."
Optional Points,Day 7 Backup E39,11,Lavik-Oppedal Ferry,"Lavik ferjekai, Norway",Backup Ferry,Backup,,Short crossing + waiting time,Use only for the safer E39 return toward Vaksdal/Bergen instead of Vikafjell.,"Backup komp az E39-es, kevésbé hegyi visszaúton.","Jó választás, ha a scenic hegyi út rossz időben kockázatos lenne."
