Layer,Day,Order,Name,Address,Type,Priority,Approx_Km,Approx_Time,Notes,Source_File
Accommodation,Night 1,1,Wergeland Cozy Apartment,"Lobergsveien 86, 5073 Bergen, Norway",Accommodation,Confirmed,,1 night,Booking.com confirmation 6303.112.352; PIN 5555; Jul 6-7; 1-bedroom apartment; 3 adults; check-in Jul 6 15:00-23:00; check-out Jul 7 07:00-11:00; NOK 1485; no meals; free private parking and Wi-Fi; approximate arrival 15:00-16:00.,01_Accommodation.csv
Accommodation,Night 2-3,2,"Otthon, Laerdalsoyri","Bergo 5, Laerdalsoyri, Vestland 6887, Norway",Accommodation,Confirmed,,2 nights,"Airbnb confirmation HMA9TY5QWC; host Aleksander; Jul 7-9; 3 guests; paid EUR 378.86; check-out Jul 9 11:00; key safe self check-in; max 4 guests; pets allowed; free cancellation before Jul 6 15:00, partial refund if cancelled before Jul 7 15:00.",01_Accommodation.csv
Accommodation,Night 4-6,3,Lodgen Stryn,"27 Perhusvegen, 6783 Stryn, Norway",Accommodation,Confirmed,,3 nights,"Booking.com confirmation 6091.836.791; PIN 9761; Jul 9-12; simple triple room with shared bathroom; 3 adults; check-in Jul 9 15:00-23:00; check-out Jul 12 07:00-11:00; NOK 6150; breakfast included; free private parking and Wi-Fi; GPS N 061 54.214, E 006 43.362.",01_Accommodation.csv
Accommodation,Night 7,4,"Otthon, Vaksdal kommune","Tveitane 43, Vaksdal kommune, Vestland 5725, Norway",Accommodation,Confirmed,,1 night,"Airbnb confirmation HMBHADWXQB; listing: Nytt, moderne hus til leie 40 min fra Bergen; host Truls; Jul 12-13; 3 guests; paid NOK 1271.52; check-out Jul 13 11:00; key safe self check-in; max 3 guests; pets allowed; non-refundable.",01_Accommodation.csv
Must-See Points,Day 3,1,Aurlandsfjord,"Aurlandsfjord, Norway",Fjord,Must,,Flexible,Main fjord experience while staying in Laerdalsoyri; combine with Aurland/Flam area.,02_Must_See_Points.csv
Must-See Points,Day 3,2,Stegastein Viewpoint,"Stegastein Viewpoint, Aurland, Norway",Viewpoint,Must,,45-75 min from Laerdalsoyri/Aurland area,Go early or late to avoid July crowding.,02_Must_See_Points.csv
Must-See Points,Day 5,3,Lovatnet,"Lovatnet, Norway",Lake / Scenic Drive,Must,,1-3 hours,Best low-stress scenic option from Lodgen Stryn.,02_Must_See_Points.csv
Must-See Points,Day 5,4,Briksdal Glacier,"Briksdal Glacier, Norway",Short Hike,Recommended,,1.5-2.5 hr walk/photos,Do this as the main active stop of the day if weather and energy are good.,02_Must_See_Points.csv
Must-See Points,Day 6 Optional Geiranger,5,Flydalsjuvet,"Flydalsjuvet, Geiranger, Norway",Viewpoint,Must if doing Geiranger,,20-30 min,Classic Geiranger viewpoint.,02_Must_See_Points.csv
Must-See Points,Day 6 Optional Geiranger,6,Geiranger,"Geiranger, Norway",Fjord Village,Must if doing Geiranger,,30-60 min,Treat village stop as brief in July; main value is viewpoints and ferry.,02_Must_See_Points.csv
Must-See Points,Day 6 Optional Geiranger,7,Geiranger-Hellesylt Ferry Start,"Geiranger ferjekai, Norway",Ferry,Must if doing Geiranger,,Check in 30 min before sailing,Book vehicle ferry in advance in July.,02_Must_See_Points.csv
Must-See Points,Day 7 Return via Vikafjell,8,Hella-Vangsnes Ferry,"Hella ferjekai, Norway",Ferry,Recommended,,Short crossing + waiting time,Use this to make the return route scenic and different from the outbound route.,02_Must_See_Points.csv
